ordinal,company_name,linkedin_job_title,linkedin_job_location,linkedin_job_url,terminal,live_pipeline_status,live_reason_code,website_url,career_url,job_list_url,opening_url,audit_note
11,StatRad,DevOps Engineer,"San Diego, CA",https://www.linkedin.com/jobs/view/devops-engineer-at-statrad-4440260052,SYSTEM_GAP,partial,OPENING_DISCOVERY_INCOMPLETE,https://www.statrad.com/,https://www.statrad.com/jobs/,https://www.statrad.com/jobs/,,Unclosed product failure: OPENING_DISCOVERY_INCOMPLETE.
12,Versana,DevOps Engineer - Raleigh,"Raleigh, NC",https://www.linkedin.com/jobs/view/devops-engineer-raleigh-at-versana-4428784625,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
13,Altec,DevOps Engineer,"Birmingham, AL",https://www.linkedin.com/jobs/view/devops-engineer-at-altec-4440790313,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
14,Splashlight,DevOps Engineer,"New York, NY",https://www.linkedin.com/jobs/view/devops-engineer-at-splashlight-4425533727,SYSTEM_GAP,partial,JOB_BOARD_NOT_FOUND,https://splashlight.com/,https://splashlight.com/careers/,,,Unclosed product failure: JOB_BOARD_NOT_FOUND.
15,Ivo,DevOps Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/devops-engineer-at-ivo-4401137274,SYSTEM_GAP,failed,NETWORK_TIMEOUT,,,,,Unclosed product failure: NETWORK_TIMEOUT.
16,Matlen Silver,Cloud DevOps Engineer | Chandler AZ,"Chandler, AZ",https://www.linkedin.com/jobs/view/cloud-devops-engineer-chandler-az-at-matlen-silver-4440092339,VERIFIED_NOT_FOUND,partial,OPENING_NOT_FOUND,https://matlensilver.com/,https://matlensilver.com/jobs/,https://matlensilver.com/jobs/,,Complete official inventory or verified no-public-recruiting-surface terminal.
17,Investigative Case Management powered by Tapestrii,"DevOps EngineerNew Omaha, Nebraska, United States","Omaha, NE",https://www.linkedin.com/jobs/view/devops-engineernew%0Aomaha-nebraska-united-states-at-investigative-case-management-powered-by-tapestrii-4440240968,INPUT_IDENTITY_INVALID,failed,HTTP_FORBIDDEN,,,,,Collected title is contaminated (DevOps EngineerNew Omaha...); no trustworthy target identity.
18,Knock,DevOps Engineer,"New York, NY",https://www.linkedin.com/jobs/view/devops-engineer-at-knock-4410293359,VERIFIED_NOT_FOUND,partial,OPENING_NOT_FOUND,,,https://job-boards.greenhouse.io/knock,,Complete official inventory or verified no-public-recruiting-surface terminal.
19,NYC Department of Social Services,DEVOPS ENGINEER,"Brooklyn, NY",https://www.linkedin.com/jobs/view/devops-engineer-at-nyc-department-of-social-services-4425365717,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
20,Pitch Aeronautics,DevOps Engineer (local),"Boise, ID",https://www.linkedin.com/jobs/view/devops-engineer-local-at-pitch-aeronautics-4438766276,VERIFIED_NOT_FOUND,partial,NO_PUBLIC_OPENINGS,https://www.pitchaero.com/,,,,Complete official inventory or verified no-public-recruiting-surface terminal.
21,City of Lubbock,Information Security and Compliance Analyst,"Lubbock, TX",https://www.linkedin.com/jobs/view/information-security-and-compliance-analyst-at-city-of-lubbock-4432727055,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
22,Sunwest Bank,Cybersecurity Analyst,"Sandy, UT",https://www.linkedin.com/jobs/view/cybersecurity-analyst-at-sunwest-bank-4420685217,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
23,"City of Pharr, TX",Cybersecurity Analyst,"Pharr, TX",https://www.linkedin.com/jobs/view/cybersecurity-analyst-at-city-of-pharr-tx-4437874960,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
24,"Stuller, Inc.",Information Security Analyst,"Lafayette, Louisiana Metropolitan Area",https://www.linkedin.com/jobs/view/information-security-analyst-at-stuller-inc-4424475160,SYSTEM_GAP,failed,NETWORK_TIMEOUT,,,,,Unclosed product failure: NETWORK_TIMEOUT.
25,"SDS International, Inc.",Cybersecurity Analyst,"Omaha, NE",https://www.linkedin.com/jobs/view/cybersecurity-analyst-at-sds-international-inc-4317924361,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
26,Sunbird Software,Cyber Security Analyst,"Sioux Falls, SD",https://www.linkedin.com/jobs/view/cyber-security-analyst-at-sunbird-software-4432015135,EXACT,success,,https://www.sunbirddcim.com/,https://www.sunbirddcim.com/careers,https://sunbirdsoftwareinc.applytojob.com/apply/,https://sunbirdsoftwareinc.applytojob.com/apply/RfBS8vS11O/Cyber-Security-Analyst,S7 verified; company/title/location/provider/tenant/opening manually audited.
27,IGNITE,CYBER SECURITY ANALYST,"Huntsville, AL",https://www.linkedin.com/jobs/view/cyber-security-analyst-at-ignite-4441163690,SYSTEM_GAP,partial,JOB_BOARD_NOT_FOUND,https://igniteimpossible.com,https://igniteimpossible.com/careers/,,,Unclosed product failure: JOB_BOARD_NOT_FOUND.
28,"Nisga'a Tek, LLC",Defense Cyber Analyst,"Honolulu, HI",https://www.linkedin.com/jobs/view/defense-cyber-analyst-at-nisga-a-tek-llc-4409058516,SYSTEM_GAP,failed,NETWORK_TIMEOUT,,,,,Unclosed product failure: NETWORK_TIMEOUT.
29,Hawaiian Electric,Cyber Operations Analyst - Oahu,"Hawaii, United States",https://www.linkedin.com/jobs/view/cyber-operations-analyst-oahu-at-hawaiian-electric-4416993271,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
30,Target Hospitality,Security Analyst,"The Woodlands, TX",https://www.linkedin.com/jobs/view/security-analyst-at-target-hospitality-4437076185,SYSTEM_GAP,failed,RESULT_IDENTITY_MISMATCH,https://www.targethospitality.com/,https://www.targethospitality.com/about-us/careers/,https://recruiting2.ultipro.com/TAR1004TARG/JobBoard/bae0b5b6-65ef-4503-b57a-b9283744bca8/,,Unclosed product failure: RESULT_IDENTITY_MISMATCH.
31,Mayo Clinic,Information Security Analyst - IS-Mod,"Rochester, MN",https://www.linkedin.com/jobs/view/information-security-analyst-is-mod-at-mayo-clinic-4442117657,SYSTEM_GAP,failed,NETWORK_TIMEOUT,,,,,Unclosed product failure: NETWORK_TIMEOUT.
32,Sentar Inc.,Exploitation Analyst (EA): Level 1-4,"Mahinahina Camp, HI",https://www.linkedin.com/jobs/view/exploitation-analyst-ea-level-1-4-at-sentar-inc-4435796041,SYSTEM_GAP,partial,OPENING_DISCOVERY_INCOMPLETE,https://www.sentar.com/,https://www.sentar.com/jobs,https://www.sentar.com/jobs,,Unclosed product failure: OPENING_DISCOVERY_INCOMPLETE.
33,Benefis Health System,"Vulnerability Analyst, Information Technology Services (Exempt)","Great Falls, MT",https://www.linkedin.com/jobs/view/vulnerability-analyst-information-technology-services-exempt-at-benefis-health-system-4432838078,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
34,Diamondback Energy,Cybersecurity Analyst,"Oklahoma City, OK",https://www.linkedin.com/jobs/view/cybersecurity-analyst-at-diamondback-energy-4432462031,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
35,"Cretex Companies, Inc.",IT Cyber Security Risk Analyst,"Elk River, MN",https://www.linkedin.com/jobs/view/it-cyber-security-risk-analyst-at-cretex-companies-inc-4439832665,SYSTEM_GAP,failed,NETWORK_TIMEOUT,,,,,Unclosed product failure: NETWORK_TIMEOUT.
36,Hawaiian Electric,Information Assurance Analyst - Oahu,"Hawaii, United States",https://www.linkedin.com/jobs/view/information-assurance-analyst-oahu-at-hawaiian-electric-4438885728,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
37,FOTOMILL STUDIOS LIMITED,Computer Network Defense Analyst,"Wahiawa, HI",https://www.linkedin.com/jobs/view/computer-network-defense-analyst-at-fotomill-studios-limited-4370885298,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
38,PACS,Security Analyst,"Salt Lake City, UT",https://www.linkedin.com/jobs/view/security-analyst-at-pacs-4441642099,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
39,North Dakota Information Technology (NDIT),Cyber Security Analyst,"Fargo, ND",https://www.linkedin.com/jobs/view/cyber-security-analyst-at-north-dakota-information-technology-ndit-4440062680,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
40,University of Oklahoma,GRC Analyst Intermediate,"Norman, OK",https://www.linkedin.com/jobs/view/grc-analyst-intermediate-at-university-of-oklahoma-4430146950,SYSTEM_GAP,failed,WEBSITE_NOT_RESOLVED,,,,,Unclosed product failure: WEBSITE_NOT_RESOLVED.
41,STEAMe,Product Designer,"Chicago, IL",https://www.linkedin.com/jobs/view/product-designer-at-steame-4426611583,EXACT,success,,https://steame.com,https://steamellc.applytojob.com/apply,https://steamellc.applytojob.com/apply/,https://steamellc.applytojob.com/apply/bZPr6g95VI/Product-Designer,S7 verified; company/title/location/provider/tenant/opening manually audited.
42,CHAMP,Product Designer,"Cleveland, OH",https://www.linkedin.com/jobs/view/product-designer-at-champ-4440077513,SYSTEM_GAP,partial,JOB_BOARD_NOT_FOUND,https://www.champtitles.com/,https://www.champtitles.com/open-positions/,,,Unclosed product failure: JOB_BOARD_NOT_FOUND.
43,EnsoData,User Experience (UX) Designer,"Madison, WI",https://www.linkedin.com/jobs/view/user-experience-ux-designer-at-ensodata-4440315938,EXACT,success,,https://www.ensodata.com/,https://apply.workable.com/ensodata/?lng=en,https://apply.workable.com/ensodata/,https://apply.workable.com/ensodata/j/9A338B5C7A/,S7 verified; company/title/location/provider/tenant/opening manually audited.
44,Holland America Line,UX Designer,"Seattle, WA",https://www.linkedin.com/jobs/view/ux-designer-at-holland-america-line-4441219545,SYSTEM_GAP,failed,NETWORK_TIMEOUT,,,,,Unclosed product failure: NETWORK_TIMEOUT.
45,ARUP Laboratories,UX (User Experience) Designer II,"Salt Lake City, UT",https://www.linkedin.com/jobs/view/ux-user-experience-designer-ii-at-arup-laboratories-4441135780,SYSTEM_GAP,failed,NETWORK_TIMEOUT,,,,,Unclosed product failure: NETWORK_TIMEOUT.
46,IMG (International Medical Group),UX Designer,"Indianapolis, IN",https://www.linkedin.com/jobs/view/ux-designer-at-img-international-medical-group-4426438449,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
47,The Home Depot,UX DESIGNER II,"Atlanta, GA",https://www.linkedin.com/jobs/view/ux-designer-ii-at-the-home-depot-4434655643,SYSTEM_GAP,partial,OPENING_DISCOVERY_INCOMPLETE,https://www.homedepot.com/,https://careers.homedepot.com/,https://careers.homedepot.com/job-search-results/?keyword=%22Sales+Specialist%22OR%22Kitchen+Designer%22,,Unclosed product failure: OPENING_DISCOVERY_INCOMPLETE.
48,Necessary Ventures,User Experience (UX) Designer,"Madison, WI",https://www.linkedin.com/jobs/view/user-experience-ux-designer-at-necessary-ventures-4437656059,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
49,Versana,UX Designer,"Raleigh, NC",https://www.linkedin.com/jobs/view/ux-designer-at-versana-4429309954,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
50,Frost,User Experience Designer II,"San Antonio, TX",https://www.linkedin.com/jobs/view/user-experience-designer-ii-at-frost-4406714624,SYSTEM_GAP,failed,NETWORK_TIMEOUT,,,,,Unclosed product failure: NETWORK_TIMEOUT.
51,OneApp,Product Designer - Portland Metro,"Portland, OR",https://www.linkedin.com/jobs/view/product-designer-portland-metro-at-oneapp-4439365621,SYSTEM_GAP,partial,OPENING_DISCOVERY_INCOMPLETE,https://oneapp.rentals/,https://oneapp.rentals/careers/,https://oneapp.rentals/careers/,,Unclosed product failure: OPENING_DISCOVERY_INCOMPLETE.
52,Lab37,UI/UX Designer,"Pittsburgh, PA",https://www.linkedin.com/jobs/view/ui-ux-designer-at-lab37-4427109962,EXACT,success,,,,https://job-boards.greenhouse.io/lab37,https://job-boards.greenhouse.io/lab37/jobs/8579139002,S7 verified; company/title/location/provider/tenant/opening manually audited.
53,Equifax,User Experience (UX) Designer,"Boise, ID",https://www.linkedin.com/jobs/view/user-experience-ux-designer-at-equifax-4439438787,SYSTEM_GAP,partial,OPENING_DISCOVERY_INCOMPLETE,https://www.equifax.com/,https://www.equifax.com/about-equifax/culture-careers/,https://careers.equifax.com/en/jobs/,,Unclosed product failure: OPENING_DISCOVERY_INCOMPLETE.
54,HP,Product Designer,"Vancouver, WA",https://www.linkedin.com/jobs/view/product-designer-at-hp-4438838410,SYSTEM_GAP,failed,CAREER_PAGE_NOT_FOUND,https://developers.hp.com/,,,,Unclosed product failure: CAREER_PAGE_NOT_FOUND.
55,Milwaukee Tool,UX/UI Product Designer,"Brookfield, WI",https://www.linkedin.com/jobs/view/ux-ui-product-designer-at-milwaukee-tool-4434655043,SYSTEM_GAP,partial,JOB_BOARD_NOT_FOUND,https://www.milwaukeetool.com,https://www.milwaukeetool.com/news/press-releases/milwaukee-delivers-top-power-speed-and-durability-for-the-toughest-jobs,,,Unclosed product failure: JOB_BOARD_NOT_FOUND.
56,Fabric,Product Designer,"New York, NY",https://www.linkedin.com/jobs/view/product-designer-at-fabric-4425643348,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
57,Dechert LLP,UX Designer,"Philadelphia, PA",https://www.linkedin.com/jobs/view/ux-designer-at-dechert-llp-4438146712,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
58,Prophetic,UX Designer,"Portland, OR",https://www.linkedin.com/jobs/view/ux-designer-at-prophetic-4430273063,VERIFIED_NOT_FOUND,partial,NO_PUBLIC_OPENINGS,https://propheticsoftware.com,,,,Complete official inventory or verified no-public-recruiting-surface terminal.
59,Slant CRM,Product Designer,"Lehi, UT",https://www.linkedin.com/jobs/view/product-designer-at-slant-crm-4335431264,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
60,"Steampunk, Inc.",UI/UX Designer,"McLean, VA",https://www.linkedin.com/jobs/view/ui-ux-designer-at-steampunk-inc-4290752432,EXACT,success,,https://steampunk.com,https://careers-steampunk.icims.com/jobs,https://careers-steampunk.icims.com/jobs/search,https://careers-steampunk.icims.com/jobs/6317/ui-ux-designer/job,S7 verified; company/title/location/provider/tenant/opening manually audited.
61,Brown and Caldwell,Project Manager,"Wailuku, HI",https://www.linkedin.com/jobs/view/project-manager-at-brown-and-caldwell-4433489743,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
62,STRIKE,Project Manager,"Corpus Christi, TX",https://www.linkedin.com/jobs/view/project-manager-at-strike-4420466895,VERIFIED_NOT_FOUND,partial,OPENING_NOT_FOUND,https://strike.com,,https://job-boards.greenhouse.io/strike,,Complete official inventory or verified no-public-recruiting-surface terminal.
63,QXO,Project Manager,"Rathdrum, ID",https://www.linkedin.com/jobs/view/project-manager-at-qxo-4441635475,VERIFIED_NOT_FOUND,partial,OPENING_NOT_FOUND,https://www.qxo.com/,https://jobs.qxo.com/careers-home,https://jobs.qxo.com/jobs,,Complete official inventory or verified no-public-recruiting-surface terminal.
64,American Fabrication Inc.,Project Manager,"Idaho Falls, ID",https://www.linkedin.com/jobs/view/project-manager-at-american-fabrication-inc-4435856709,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
65,ProMach,Project Manager,"Huntington, IN",https://www.linkedin.com/jobs/view/project-manager-at-promach-4437572476,SYSTEM_GAP,failed,CAREER_PAGE_NOT_FOUND,https://www.promach.com/,,,,Unclosed product failure: CAREER_PAGE_NOT_FOUND.
66,System One,Project Manager,Beaumont-Port Arthur Area,https://www.linkedin.com/jobs/view/project-manager-at-system-one-4434872384,SYSTEM_GAP,failed,NETWORK_TIMEOUT,,,,,Unclosed product failure: NETWORK_TIMEOUT.
67,WENDEL Companies,Project Manager,"Albany, NY",https://www.linkedin.com/jobs/view/project-manager-at-wendel-companies-4419993513,SYSTEM_GAP,partial,OPENING_DISCOVERY_INCOMPLETE,https://wendelcompanies.com/,https://wendelcompanies.com/about/working-at-wendel/careers/,https://wendelcompanies.com/about/working-at-wendel/careers/,,Unclosed product failure: OPENING_DISCOVERY_INCOMPLETE.
68,Team Royal,Project Manager,"Lafayette, LA",https://www.linkedin.com/jobs/view/project-manager-at-team-royal-4437878290,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
69,BWXT,Project Manager,"Idaho Falls, ID",https://www.linkedin.com/jobs/view/project-manager-at-bwxt-4421960984,EXACT,success,,https://www.bwxt.com/,https://www.bwxt.com/careers/,https://careers.bwxt.com,https://careers.bwxt.com/job/Idaho-Falls-Project-Manager-ID/1397555300/,S7 verified; company/title/location/provider/tenant/opening manually audited.
70,Crawford Thomas Recruiting,Project Manager,"Donalsonville, GA",https://www.linkedin.com/jobs/view/project-manager-at-crawford-thomas-recruiting-4441119775,SYSTEM_GAP,partial,OPENING_DISCOVERY_INCOMPLETE,https://www.crawfordthomas.com/,https://www.crawfordthomas.com/candidates/jobs/,https://www.crawfordthomas.com/candidates/jobs/,,Unclosed product failure: OPENING_DISCOVERY_INCOMPLETE.
71,WENDEL Companies,Project Manager,"Williamsville, NY",https://www.linkedin.com/jobs/view/project-manager-at-wendel-companies-4433535345,SYSTEM_GAP,partial,OPENING_DISCOVERY_INCOMPLETE,https://wendelcompanies.com/,https://wendelcompanies.com/about/working-at-wendel/careers/,https://wendelcompanies.com/about/working-at-wendel/careers/,,Unclosed product failure: OPENING_DISCOVERY_INCOMPLETE.
72,Conrad Consulting,Project Manager,"Toledo, OH",https://www.linkedin.com/jobs/view/project-manager-at-conrad-consulting-4433266836,SYSTEM_GAP,partial,OPENING_DISCOVERY_INCOMPLETE,https://www.conradconsulting.com/,https://www.conradconsulting.com/list_vacancies.php,https://www.conradconsulting.com/list_vacancies.php,,Unclosed product failure: OPENING_DISCOVERY_INCOMPLETE.
73,Rider Levett Bucknall RLB,Project Manager,"Honolulu, HI",https://www.linkedin.com/jobs/view/project-manager-at-rider-levett-bucknall-rlb-4403834520,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
74,NextPlay Jobs,Project Manager,"Wichita, Kansas Metropolitan Area",https://www.linkedin.com/jobs/view/project-manager-at-nextplay-jobs-4436816565,SYSTEM_GAP,partial,JOB_BOARD_NOT_FOUND,https://www.nextplayjobs.com,https://www.nextplayjobs.com,,,Unclosed product failure: JOB_BOARD_NOT_FOUND.
75,Salas O'Brien,Project Manager,"Evansville, IN",https://www.linkedin.com/jobs/view/project-manager-at-salas-o-brien-4193245312,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
76,Hays + Sons,Project Manager – Bloomington Full Time,"Bloomington, IN",https://www.linkedin.com/jobs/view/project-manager-%E2%80%93-bloomington%0Afull-time-at-hays-%2B-sons-4405588363,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
77,"B&D Industries, Inc.",Project Manager,"Santa Teresa, NM",https://www.linkedin.com/jobs/view/project-manager-at-b-d-industries-inc-4440288309,SYSTEM_GAP,partial,JOB_BOARD_NOT_FOUND,https://www.bdindustries.com/,https://www.bdindustries.com/projects/electrical-install-jobs/,,,Unclosed product failure: JOB_BOARD_NOT_FOUND.
78,Vertiv,Project Manager,"Greenville, SC",https://www.linkedin.com/jobs/view/project-manager-at-vertiv-4436431063,SYSTEM_GAP,partial,PROVIDER_VARIANT_UNSUPPORTED,https://www.vertiv.com/en-asia/,https://egup.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs,https://egup.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX,,Unclosed product failure: PROVIDER_VARIANT_UNSUPPORTED.
79,"Northern Clearing, Inc.",Project Manager,"Buffalo, NY",https://www.linkedin.com/jobs/view/project-manager-at-northern-clearing-inc-4438894054,SYSTEM_GAP,partial,JOB_BOARD_NOT_FOUND,https://www.northernclearing.com/,https://www.northernclearing.com/careers/,,,Unclosed product failure: JOB_BOARD_NOT_FOUND.
80,Adapture,Project Manager,"Sebree, KY",https://www.linkedin.com/jobs/view/project-manager-at-adapture-4440034727,VERIFIED_NOT_FOUND,partial,OPENING_NOT_FOUND,https://adapture.com/,https://recruiting.paylocity.com/Recruiting/Jobs/All/4620587c-33fe-464d-ad40-ceb85c29436e,https://recruiting.paylocity.com/recruiting/jobs/All/4620587c-33fe-464d-ad40-ceb85c29436e,,Complete official inventory or verified no-public-recruiting-surface terminal.
81,City of Sioux Falls,Talent Manager,"Sioux Falls, SD",https://www.linkedin.com/jobs/view/talent-manager-at-city-of-sioux-falls-4435941256,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
82,WICHITA COMPANY LIMITED,Assistant Director of Human Resources,"Wichita, KS",https://www.linkedin.com/jobs/view/assistant-director-of-human-resources-at-wichita-company-limited-4441608516,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
83,City of College Station,HR Operations and Services Manager,"College Station, TX",https://www.linkedin.com/jobs/view/hr-operations-and-services-manager-at-city-of-college-station-4426127673,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
84,Jushi Holdings Inc.,Human Resources Manager,"Reno, NV",https://www.linkedin.com/jobs/view/human-resources-manager-at-jushi-holdings-inc-4422128904,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
85,State of Montana,Human Resources Manager,"Townsend, MT",https://www.linkedin.com/jobs/view/human-resources-manager-at-state-of-montana-4439231755,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
86,Arkema,Human Resources Manager,"Beaumont, TX",https://www.linkedin.com/jobs/view/human-resources-manager-at-arkema-4424789545,SYSTEM_GAP,failed,RESULT_IDENTITY_MISMATCH,https://www.arkema.com/global/en/,https://www.arkema.com/global/en/careers/join-us/,https://jobs.arkema.com/?locale=en_US,,Unclosed product failure: RESULT_IDENTITY_MISMATCH.
87,Arkema,Human Resources Manager Job,"Beaumont, TX",https://www.linkedin.com/jobs/view/human-resources-manager-job-at-arkema-4421174958,SYSTEM_GAP,success,,https://www.arkema.com/global/en/,https://www.arkema.com/global/en/careers/join-us/,https://jobs.arkema.com/?locale=en_US,https://jobs.arkema.com/job/Clear-Lake-Human-Resources-Manager-Job-TX-77565/1388388033/,"Raw Exact rejected: LinkedIn Beaumont, TX; selected opening is Clear Lake, TX."
88,TreeHouse Foods,Human Resources Manager,"Green Bay, WI",https://www.linkedin.com/jobs/view/human-resources-manager-at-treehouse-foods-4436272543,EXACT,success,,https://www.treehousefoods.com/home/default.aspx,https://www.treehousefoods.com/careers/default.aspx,https://treehouse.wd1.myworkdayjobs.com/TreeHouseCareers,https://treehouse.wd1.myworkdayjobs.com/TreeHouseCareers/job/USA-WI-Green-Bay/Human-Resources-Manager_R30530,S7 verified; company/title/location/provider/tenant/opening manually audited.
89,Ken Garff Automotive Group,Human Resources Manager,"Cheyenne, WY",https://www.linkedin.com/jobs/view/human-resources-manager-at-ken-garff-automotive-group-4423595647,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
90,DSV - Global Transport and Logistics,HR Manager (Multi Site),"Carson City, NV",https://www.linkedin.com/jobs/view/hr-manager-multi-site-at-dsv-global-transport-and-logistics-4434690342,VERIFIED_NOT_FOUND,partial,OPENING_NOT_FOUND,https://www.dsv.com/en,https://www.dsv.com/en/careers,https://www.dsv.com/en/careers/job-search,,Complete official inventory or verified no-public-recruiting-surface terminal.
91,"B&D Industries, Inc.",Human Resources Manager,"Albuquerque, NM",https://www.linkedin.com/jobs/view/human-resources-manager-at-b-d-industries-inc-4424648213,SYSTEM_GAP,partial,JOB_BOARD_NOT_FOUND,https://www.bdindustries.com/,https://www.bdindustries.com/projects/electrical-install-jobs/,,,Unclosed product failure: JOB_BOARD_NOT_FOUND.
